sample_id,event_id,event_code,latitude,longitude,state,district,facility_id,facility_name,acquisition_date,split,spatial_group,spatial_holdout_region,label,label_type,label_source,verification_status,dataset_type,is_demo,point_in_time_compliant,frp_max,frp_avg,frp_std,bright_max,bright_avg,delta_brightness,dist_to_facility_m,dist_to_forest_m,dist_to_agriculture_m,dist_to_settlement_m,dist_to_water_m,dist_to_mine_m,landcover_code,persistence_score,recurrence_rate,day_night_ratio,baseline_deviation_ratio,industrial_context_score
2db60b35-c186-4f9f-8ba8-1f03abb491e8,823b318a-2f5e-46fa-aa44-7af8ed8cdde0,EVT-GUJ-20260830-E234,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-30,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
48ca05a1-f8a8-4576-a27b-70e481db9e82,bd0cafe6-0ed6-4506-af56-f7223c3e270f,EVT-GUJ-20260830-01F9,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-30,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
aba75650-6264-475e-9029-ea5027aa392a,0f14d5a9-0fa6-48c9-8a82-4d8258ce0cd1,EVT-GUJ-20260831-FDDA,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-31,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
e07f60ee-2d70-485c-babb-fff419b0737b,7502e994-8636-40df-8055-597df8101f47,EVT-GUJ-20260831-F21F,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-31,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
9088b293-5326-4cf2-bd90-ae377c14ade1,3f95cd98-f758-4106-8577-fc218e2bcb96,EVT-GUJ-20260831-445F,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-31,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
fc1b1f27-c422-4e5c-8b81-5fb1e9229acf,459fe31e-7131-462b-be5d-fe4a1d3efdf0,EVT-GUJ-20260831-B3EB,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-31,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
60afaeff-8821-4714-8e13-3b306d5e58e9,f48a377a-5f24-4346-a857-42749f32bd03,EVT-GUJ-20260831-29B0,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-31,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
95ed0671-8652-46f3-b924-62180cd33144,1ae2b382-0094-4b4b-832e-d67cd95fce60,EVT-GUJ-20260831-C7E8,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-31,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
98697551-9504-48b8-babb-388fa71ac816,e1687160-adf1-48a7-a1f9-b2d962d7116e,EVT-GUJ-20260831-B1E4,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-31,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
2fe66a6f-27b0-4254-b776-61df508a53db,2bd6071a-8eba-45b6-b86b-017cf855e7a4,EVT-GUJ-20260831-1CF2,22.3542,69.8644,Gujarat,Jamnagar,9851739b-957a-4c0e-87c9-e46429a00630,Reliance Jamnagar Mega Refinery & Petrochemical Complex,2026-08-31,TEST,9851739b-957a-4c0e-87c9-e46429a00630,WESTERN_PETROCHEMICAL,Industrial Fire,HUMAN_VERIFIED,SENTINEL2_SWIR_VERIFICATION,VERIFIED,HUMAN_VERIFIED,False,True,285.0,249.38,0.0,0.0,0.0,0.0,181.91402943653523,1128614.5,941505.2,4200.0,1335938.1,1302902.4,1,1.0,456.44,1.0,49.336,0.95
